horas_estudio,horas_sueno,nivel_estres,asistencia_pct,promedio_notas,puntaje_final
17.1,6.3,4.7,80.1,10.0,78.5
30.3,8.0,4.6,75.9,10.0,81.8
19.7,6.8,6.5,86.8,10.0,81.8
26.0,5.4,3.8,73.7,10.0,94.6
17.1,7.8,4.5,76.2,10.0,82.1
17.6,7.6,2.9,78.0,10.0,78.2
22.5,4.8,5.6,85.7,10.0,87.4
23.0,7.2,4.3,66.6,10.0,92.6
17.3,7.7,4.2,86.5,10.0,75.0
3.8,6.9,6.2,67.5,4.0,28.9
85.0,6.4,5.1,88.1,10.0,68.9
22.1,8.5,3.2,74.4,10.0,79.4
18.1,6.2,4.4,56.2,10.0,85.7
20.7,9.1,1.7,82.1,10.0,87.2
19.6,6.1,3.9,73.4,10.0,88.2
9.4,8.1,4.4,87.4,10.0,79.1
23.3,9.2,1.8,85.5,10.0,88.9
14.5,5.5,7.3,90.9,10.0,73.8
15.0,7.6,4.6,84.8,10.0,68.1
21.5,6.1,6.4,89.9,10.0,84.2
13.6,8.0,3.5,90.5,10.0,75.0
19.6,8.7,4.5,91.4,10.0,89.3
12.9,9.1,2.4,64.8,10.0,65.1
16.9,8.2,3.4,87.1,10.0,79.8
15.8,6.6,3.3,100.0,10.0,76.8
15.2,7.9,2.3,71.9,10.0,74.5
13.1,10.0,1.4,85.5,10.0,68.7
17.7,8.5,3.6,97.3,10.0,84.0
18.7,9.7,2.6,87.5,10.0,77.5
23.6,8.4,4.1,69.9,10.0,83.3
14.6,5.6,5.8,75.9,10.0,65.1
18.3,6.7,3.0,94.9,10.0,85.5
31.2,7.9,3.2,67.7,10.0,91.0
20.4,5.9,4.8,89.0,10.0,83.4
20.9,7.9,4.2,90.7,10.0,78.5
20.6,4.7,7.0,85.1,10.0,81.9
7.8,6.9,3.7,86.6,10.0,70.3
16.5,7.7,2.3,81.3,10.0,89.0
5.2,4.8,6.6,82.7,10.0,77.6
23.2,7.7,5.2,80.2,10.0,90.8
28.2,8.1,4.9,80.0,10.0,87.1
14.8,8.2,3.1,60.6,10.0,76.8
28.6,5.1,5.8,79.8,10.0,85.5
11.3,5.3,5.1,88.1,10.0,73.1
10.8,8.4,4.5,77.7,10.0,76.4
21.3,8.4,3.1,72.9,10.0,142.0
13.1,5.8,6.1,85.4,10.0,75.4
15.0,5.5,5.7,62.7,10.0,84.8
24.5,8.2,4.3,51.8,10.0,81.6
12.2,4.7,7.9,80.3,10.0,70.7
16.3,7.9,3.6,68.9,10.0,67.7
17.3,5.1,6.2,61.5,10.0,83.2
20.3,5.3,5.7,74.2,10.0,89.2
22.4,7.2,4.1,74.8,10.0,90.7
17.4,7.9,3.0,92.1,10.0,80.1
10.8,7.9,2.4,79.8,10.0,70.8
24.1,7.2,1.7,87.8,10.0,94.0
35.3,6.0,5.2,88.1,10.0,92.4
22.9,6.1,5.0,82.3,10.0,84.3
21.4,7.3,4.9,83.7,10.0,76.1
15.7,7.9,3.4,73.6,10.0,74.2
16.5,6.0,3.5,75.4,10.0,78.7
9.7,6.2,5.7,81.9,10.0,68.9
21.7,6.3,7.3,81.2,10.0,74.1
17.2,7.1,3.9,100.0,10.0,72.5
25.7,5.9,6.1,83.7,10.0,80.8
11.8,7.0,5.5,70.5,10.0,74.6
26.2,7.3,3.1,65.0,10.0,89.8
16.1,7.6,2.9,60.8,10.0,78.9
14.3,7.6,4.5,95.4,10.0,79.3
15.1,5.5,4.9,67.0,10.0,79.1
14.3,7.1,2.9,88.2,10.0,75.2
5.5,7.5,4.3,88.1,10.0,67.0
21.8,6.2,7.3,68.3,10.0,84.1
22.6,6.5,3.2,83.2,10.0,83.0
25.7,8.7,2.2,90.1,10.0,82.2
22.2,4.6,6.7,56.4,10.0,86.7
21.9,9.6,1.7,85.6,10.0,92.5
7.9,8.5,2.8,92.7,10.0,67.1
19.1,6.6,4.4,76.7,10.0,82.7
11.2,9.0,2.4,71.7,10.0,73.7
16.3,5.9,5.0,72.5,10.0,74.4
26.4,7.6,3.3,47.8,10.0,79.8
18.2,5.3,6.5,68.3,10.0,85.0
2.3,8.9,2.4,83.1,10.0,67.3
12.0,6.2,4.3,62.0,10.0,66.0
14.6,8.0,3.7,77.3,10.0,92.2
16.6,7.3,4.9,89.1,10.0,72.3
23.6,6.6,5.1,75.9,10.0,85.1
23.0,6.4,5.4,88.8,10.0,77.8
22.9,10.0,3.2,63.8,10.0,86.6
19.4,6.2,3.0,74.1,10.0,82.0
16.2,7.7,2.6,95.0,10.0,77.1
15.8,7.8,2.7,67.5,10.0,81.0
20.6,8.4,2.0,76.5,10.0,82.5
23.6,8.3,3.4,100.0,10.0,84.5
27.3,5.7,5.5,85.9,10.0,86.4
18.6,7.0,5.5,79.7,10.0,80.6
19.8,7.8,3.6,60.1,10.0,83.7
26.9,7.4,2.9,72.1,10.0,100.0
11.5,6.2,6.5,73.1,10.0,75.0
22.9,6.5,6.1,63.7,10.0,82.6
13.3,7.0,4.7,68.1,10.0,82.2
27.6,5.7,7.3,83.5,10.0,90.9
26.4,7.0,7.3,67.9,10.0,87.3
27.9,7.7,3.2,81.3,10.0,87.5
27.2,7.7,3.3,58.2,10.0,89.3
23.0,7.6,4.8,61.8,10.0,81.6
11.9,5.9,5.0,97.4,10.0,70.6
21.0,5.1,6.8,88.9,10.0,79.9
23.4,7.4,4.9,85.0,10.0,80.5
20.9,6.2,4.6,85.7,10.0,76.6
17.3,7.5,5.1,74.0,10.0,81.0
18.9,8.9,3.7,88.8,10.0,74.9
20.3,7.3,4.0,69.6,10.0,76.5
11.8,6.7,5.8,87.8,10.0,71.3
22.1,6.1,8.3,70.9,10.0,92.0
21.3,5.9,6.1,86.5,10.0,82.6
17.2,8.6,1.8,83.9,10.0,73.8
22.0,4.1,6.5,83.0,10.0,81.5
25.0,6.8,4.2,58.7,10.0,81.7
11.9,8.4,2.5,68.3,10.0,75.6
26.8,5.8,6.0,89.9,10.0,83.0
24.1,6.9,6.4,75.2,10.0,84.5
24.0,6.7,4.9,75.6,10.0,89.3
24.0,7.7,2.9,73.3,10.0,93.5
22.3,8.7,3.6,90.4,10.0,83.8
18.0,6.5,3.6,80.2,10.0,87.3
13.6,5.8,6.3,74.2,10.0,67.1
21.1,6.2,5.3,70.2,10.0,86.6
18.8,9.4,-4.0,76.4,10.0,77.0
13.8,9.4,1.7,74.1,10.0,78.8
28.6,7.5,4.4,90.1,10.0,92.2
23.0,7.7,5.0,79.7,10.0,79.4
16.1,6.3,6.4,75.6,10.0,80.9
8.6,8.2,3.6,33.4,10.0,71.2
13.0,6.7,5.0,76.9,10.0,65.8
20.9,6.0,5.0,81.1,10.0,79.5
16.5,7.3,3.2,62.0,10.0,74.4
10.1,6.6,3.9,91.8,10.0,64.3
19.6,7.3,5.6,68.0,10.0,78.5
17.0,7.0,3.7,64.0,10.0,76.7
15.6,7.4,5.6,65.8,10.0,75.2
10.5,7.2,3.7,68.1,10.0,78.0
20.0,9.3,1.0,75.1,10.0,86.7
11.6,7.9,3.1,72.3,10.0,73.3
16.7,6.6,5.0,76.3,10.0,80.6
25.0,7.6,3.7,72.2,10.0,86.0
25.5,6.3,5.5,71.2,10.0,93.2
17.2,7.0,6.6,51.0,10.0,78.9
2.0,5.8,5.7,81.5,10.0,66.6
22.5,5.8,5.4,82.2,10.0,81.5
12.4,7.2,3.8,92.3,10.0,80.9
9.6,5.3,5.5,66.0,10.0,67.2
22.4,7.2,5.9,86.0,10.0,79.7
6.9,6.5,5.9,78.9,10.0,65.6
22.3,7.1,6.0,93.4,10.0,89.3
23.4,7.9,4.0,87.9,10.0,93.2
21.0,8.2,2.8,93.0,10.0,84.6
19.3,7.5,4.1,80.3,10.0,77.9
17.3,6.0,5.0,78.4,10.0,81.3
15.1,7.8,5.2,85.6,10.0,70.7
11.5,8.8,3.8,94.4,10.0,78.0
32.2,7.4,2.2,78.1,10.0,100.0
15.3,4.7,5.0,70.4,10.0,80.0
12.5,5.5,5.3,82.8,10.0,76.6
17.4,7.4,5.8,81.7,10.0,72.5
21.5,6.6,4.0,65.1,10.0,88.4
24.1,9.7,2.4,66.3,10.0,87.1
16.6,6.4,5.3,73.0,10.0,79.4
16.9,6.7,5.2,73.3,10.0,74.3
13.2,7.7,4.5,83.8,10.0,77.0
16.5,4.1,6.1,84.7,10.0,70.4
23.2,8.1,4.5,68.7,10.0,89.7
17.6,6.7,4.0,65.6,10.0,80.0
15.8,5.3,6.7,62.9,10.0,76.6
19.0,6.5,4.4,67.3,10.0,78.9
13.3,8.4,2.8,79.4,10.0,77.4
5.1,7.3,4.1,87.0,10.0,58.9
15.1,3.7,6.2,80.2,10.0,79.2
2.0,7.5,4.4,81.8,10.0,58.3
16.4,6.6,6.8,62.7,10.0,78.7
20.5,7.3,2.0,88.2,10.0,82.3
23.9,5.5,6.0,81.8,10.0,79.7
21.2,8.2,1.1,81.6,10.0,81.4
18.2,8.2,3.9,77.1,10.0,74.9
11.8,7.2,2.2,82.1,10.0,78.8
11.4,7.0,3.7,78.1,10.0,72.7
16.7,8.4,3.5,76.2,10.0,71.9
12.8,7.6,2.6,93.4,10.0,71.2
12.2,6.7,4.8,72.3,6.13,48.4
18.3,6.8,5.2,80.5,10.0,79.8
12.9,7.6,4.7,69.0,10.0,75.6
7.1,9.2,1.3,84.2,10.0,75.3
16.7,6.4,5.6,72.2,10.0,88.5
12.3,6.5,4.3,82.3,10.0,75.0
21.1,8.0,4.2,79.4,10.0,78.4
25.8,6.4,6.0,67.7,10.0,94.0
22.6,5.9,4.7,100.0,10.0,91.5
20.6,5.7,5.9,72.6,10.0,77.4
26.2,0.2,2.3,84.6,10.0,97.5
12.1,6.0,4.1,85.5,10.0,73.3
14.5,6.7,5.8,63.4,10.0,80.9
19.1,5.2,4.4,81.6,10.0,70.5
15.6,6.9,5.6,71.1,10.0,76.0
18.9,6.5,5.8,68.3,10.0,85.9
15.7,6.8,3.3,72.5,10.0,70.3
16.4,6.5,4.3,100.0,10.0,74.6
15.4,7.0,4.3,84.4,10.0,82.1
22.5,6.8,3.3,69.8,10.0,83.8
16.9,6.8,4.6,77.6,10.0,78.2
10.1,6.2,4.5,88.3,10.0,71.0
17.3,6.2,4.8,93.9,10.0,78.0
14.3,8.0,2.3,83.0,10.0,84.9
26.7,6.9,3.4,72.5,10.0,85.6
20.2,8.4,3.0,85.1,10.0,83.0
25.6,6.5,5.2,67.1,10.0,89.2
18.7,6.3,5.7,65.3,10.0,85.9
23.5,8.3,1.4,97.3,10.0,79.4
22.6,6.8,4.2,65.7,10.0,83.0
21.3,6.7,6.7,82.1,10.0,74.6
7.6,6.6,5.0,100.0,10.0,75.0
19.2,8.7,1.6,89.5,10.0,71.2
26.2,7.1,3.6,56.1,10.0,75.9
18.1,7.8,4.0,88.2,10.0,77.6
25.0,8.3,4.2,64.5,10.0,85.6
15.1,7.5,5.2,68.9,10.0,75.0
16.2,5.7,7.3,89.6,10.0,78.6
22.1,7.5,4.5,91.7,10.0,84.1
