mes,ingresos
2024-01-01,1620000.0
2024-02-01,1576000.0
2024-03-01,1273000.0
2024-04-01,1530000.0
2024-05-01,1594000.0
2024-06-01,1615000.0
2024-07-01,1401000.0
2024-08-01,1538000.0
2024-09-01,1473000.0
2024-10-01,1495000.0
2024-11-01,1738000.0
2024-12-01,3140000.0
2025-01-01,1746000.0
2025-02-01,1865000.0
2025-03-01,1674000.0
2025-04-01,1735000.0
2025-05-01,1764000.0
2025-06-01,1758000.0
2025-07-01,1591000.0
2025-08-01,1760000.0
2025-09-01,1927000.0
2025-10-01,1549000.0
2025-11-01,1862000.0
2025-12-01,3708000.0
2026-01-01,1817000.0
2026-02-01,2160000.0
2026-03-01,1999000.0
2026-04-01,1744000.0
2026-05-01,1910000.0
2026-06-01,1975000.0
2026-07-01,1875000.0
2026-08-01,1989000.0
2026-09-01,1891000.0
2026-10-01,1987000.0
2026-11-01,2087000.0
2026-12-01,3806000.0
