temperatura,presion,consumo_kwh,produccion,eficiencia
79.0,98.5,174.9,145.7,83.7
73.9,93.3,144.1,125.6,85.9
80.2,108.0,178.8,151.8,85.2
87.2,116.4,199.4,159.2,81.5
73.1,95.0,158.5,133.2,84.2
73.1,95.7,176.1,149.3,84.9
87.6,120.3,174.7,159.4,89.1
81.1,102.5,155.5,126.2,79.2
71.2,95.4,128.3,103.9,76.8
79.3,102.1,184.6,139.6,80.9
71.3,91.6,157.6,136.4,82.8
71.3,98.2,149.0,124.9,81.7
76.9,104.1,164.9,138.2,81.6
59.7,81.7,111.9,82.5,76.4
61.2,86.1,157.9,135.0,84.6
142.0,91.8,149.6,124.9,87.3
66.9,90.4,141.8,115.7,79.5
77.5,99.2,171.5,144.3,85.0
67.7,89.7,148.0,129.4,84.9
63.7,82.2,136.5,114.4,90.3
86.7,113.2,172.6,138.2,76.5
73.2,98.1,159.4,143.7,91.1
75.5,94.1,181.2,153.0,86.3
63.6,93.1,149.7,132.9,90.0
70.6,86.8,167.5,132.8,78.7
75.9,92.6,153.2,142.4,92.6
65.8,91.3,126.3,111.8,88.7
78.0,105.4,162.3,134.9,82.7
70.2,94.4,148.1,113.3,79.4
72.7,97.6,165.7,141.4,91.9
70.2,91.2,127.1,112.5,86.8
89.8,112.3,207.0,160.9,73.6
74.9,97.7,155.4,143.7,92.2
66.5,83.1,134.6,132.0,105.8
81.6,110.9,159.2,131.8,80.4
65.2,84.1,117.1,103.6,93.3
76.7,95.5,170.9,153.4,94.8
59.3,75.5,125.5,101.0,78.8
64.4,85.8,119.7,99.8,85.1
76.6,96.7,145.3,128.0,93.0
80.9,101.1,165.9,151.2,90.0
76.4,100.5,180.4,146.4,80.5
74.1,97.5,152.4,124.4,79.8
72.6,91.8,134.4,115.0,82.5
63.2,79.8,129.7,95.5,71.7
69.2,91.2,142.1,129.4,87.4
71.3,85.5,117.4,112.0,95.5
83.5,101.5,174.6,154.0,85.9
77.7,97.5,160.5,136.8,85.9
60.9,78.1,136.2,113.9,78.9
77.6,102.4,185.1,159.3,87.0
71.9,100.9,164.5,137.1,85.8
69.6,94.7,142.9,131.5,86.0
79.9,103.1,154.5,119.8,78.6
83.2,108.1,205.7,175.5,89.0
82.5,102.2,173.9,138.8,76.2
68.3,88.7,143.6,119.3,88.1
72.5,92.8,152.0,125.6,83.9
77.7,102.6,165.4,136.1,80.1
82.8,103.5,172.2,142.8,82.8
71.2,95.1,142.6,116.0,83.1
73.5,103.2,147.8,115.0,78.0
66.1,85.5,138.5,116.2,85.5
65.4,87.1,130.9,105.6,77.9
81.5,109.4,162.6,138.9,85.9
85.8,109.6,181.6,142.8,74.4
74.4,97.9,153.2,135.7,88.2
83.0,108.0,192.4,149.1,74.8
77.9,101.7,131.8,112.3,83.0
69.8,86.9,159.8,147.2,95.9
77.9,101.4,178.5,150.7,87.7
87.3,116.0,158.5,140.1,90.3
74.7,104.4,152.8,123.1,77.3
87.5,118.6,179.3,157.7,87.0
54.0,81.0,96.6,85.7,92.3
81.6,102.2,162.0,152.8,94.8
75.7,102.8,145.6,127.4,94.4
72.6,95.3,173.5,166.9,97.4
75.7,109.4,170.3,157.4,93.0
59.1,72.8,139.4,112.4,79.7
73.2,91.0,162.5,131.8,81.5
77.9,98.2,150.0,124.1,82.3
86.8,102.3,176.0,157.4,91.5
70.9,89.5,154.7,131.8,88.1
68.5,85.3,129.3,109.9,82.7
71.0,93.0,157.6,143.2,86.9
82.3,108.7,170.0,132.5,72.4
77.6,110.3,580.0,127.7,82.1
70.8,96.7,157.1,135.3,82.8
79.1,100.0,171.5,145.5,78.4
75.8,94.0,154.8,129.9,85.1
82.7,110.0,187.7,175.9,101.2
69.4,83.6,132.7,114.8,86.5
72.4,103.2,159.4,140.9,90.9
71.9,99.3,158.0,142.3,90.3
63.3,79.9,129.2,112.1,86.4
77.4,92.0,166.4,127.0,79.1
77.1,107.0,146.9,119.7,80.6
75.0,97.0,168.7,147.9,88.5
73.1,101.2,151.3,124.1,82.9
63.7,74.8,127.4,97.1,74.2
71.6,90.1,163.0,131.2,83.4
72.3,94.0,143.3,121.3,84.1
68.6,89.4,127.1,113.2,86.8
73.7,93.6,136.1,110.1,82.5
78.2,104.8,171.6,142.7,80.5
90.1,111.8,173.8,140.6,81.0
76.4,98.6,181.5,149.2,82.2
77.1,100.8,136.8,107.9,82.1
74.4,99.3,176.6,154.4,88.8
59.6,81.1,127.8,98.1,76.7
74.8,91.6,155.9,130.9,86.4
75.5,90.5,152.0,112.6,78.2
94.7,129.5,203.7,178.6,89.4
73.5,97.2,153.8,116.9,76.0
77.4,96.9,175.8,147.9,80.2
74.7,104.9,158.3,139.8,85.1
65.7,85.9,139.7,122.6,86.9
84.1,115.3,172.3,149.0,84.7
81.0,105.7,169.4,140.6,82.4
81.3,116.0,174.5,144.1,82.8
67.7,96.8,121.7,108.0,90.4
86.2,110.8,164.9,140.4,84.9
63.8,87.8,142.9,104.3,74.5
79.7,106.8,169.4,130.2,77.0
92.5,127.1,192.1,159.8,77.3
67.1,82.4,141.1,119.6,82.0
70.5,95.0,152.2,128.4,83.9
75.8,103.8,152.7,124.9,78.2
71.0,83.5,139.7,126.9,92.7
62.6,75.5,133.8,115.8,91.1
75.5,88.0,146.9,138.2,97.7
66.5,85.1,144.6,119.7,82.2
78.8,106.0,145.0,118.1,85.9
67.6,95.4,154.4,135.1,87.9
87.4,114.0,189.2,148.2,77.3
68.7,97.5,147.4,135.1,89.8
72.4,87.3,163.9,151.0,91.2
81.5,97.4,191.2,160.7,82.9
65.2,84.4,149.0,118.3,79.9
76.8,101.8,139.2,104.9,75.8
85.5,110.9,164.1,143.2,87.2
62.1,70.4,123.0,95.9,79.3
76.5,99.0,160.9,137.1,88.8
77.1,93.7,168.1,144.2,88.7
81.3,109.0,161.9,130.6,76.2
65.1,86.5,139.0,112.9,73.6
64.4,79.1,126.3,119.9,97.8
79.2,100.4,158.9,123.3,73.5
77.4,95.3,145.6,112.7,76.7
77.0,99.8,150.6,133.0,84.8
77.8,105.9,147.1,121.9,77.4
69.6,85.5,134.4,110.3,83.7
76.9,102.4,174.0,145.9,86.1
77.3,97.9,151.0,132.8,86.2
69.3,86.1,177.1,155.9,80.3
89.9,116.4,194.8,165.8,83.5
78.8,97.3,167.7,133.1,80.6
65.5,82.3,127.2,103.8,77.1
80.3,98.3,176.9,153.4,87.2
67.2,97.2,134.2,107.9,80.4
81.3,105.9,172.2,169.1,100.0
84.3,106.1,207.7,167.3,80.9
68.4,90.0,142.6,135.1,91.8
82.7,107.0,187.5,162.3,90.1
78.3,100.7,156.0,141.6,90.3
81.6,109.1,170.9,155.6,91.0
90.2,121.0,210.6,169.7,77.8
73.0,92.3,145.9,127.7,86.2
69.0,86.8,166.6,138.8,80.7
67.9,86.9,151.0,128.8,84.7
68.5,77.5,137.0,112.7,87.4
74.4,89.1,163.8,138.6,80.5
77.7,107.9,174.9,158.9,86.0
77.2,108.6,169.6,136.2,84.7
81.6,104.9,152.6,133.6,87.0
75.1,100.5,149.0,139.1,91.4
86.6,114.2,178.9,155.5,90.0
72.9,110.1,152.2,117.3,75.3
96.8,131.4,210.6,172.2,87.2
80.0,103.4,170.1,147.4,88.7
68.1,83.8,127.1,110.8,85.7
66.4,78.3,144.1,125.0,93.3
78.9,103.5,172.9,130.4,73.6
73.2,91.4,160.5,133.3,85.3
80.7,97.8,182.5,151.7,84.0
78.8,99.2,175.5,140.9,84.2
74.4,91.3,161.8,135.6,88.5
68.2,97.1,142.4,123.1,86.6
62.9,86.2,112.1,96.9,84.1
71.4,92.8,155.2,132.5,86.7
81.9,113.8,174.4,148.5,83.1
76.7,100.1,164.4,133.9,87.5
65.0,80.2,121.3,102.6,85.1
76.4,106.9,147.4,119.5,79.9
78.1,104.2,176.6,150.8,85.9
67.9,83.1,142.2,120.2,80.5
76.2,98.1,168.3,159.0,91.6
75.5,93.7,158.8,127.7,84.0
65.9,78.7,138.7,115.1,81.0
77.9,105.9,174.8,-30.0,77.3
79.5,112.9,160.7,159.8,101.0
83.7,101.8,176.8,133.6,79.1
83.4,111.3,169.7,145.3,87.8
64.0,79.9,129.1,100.9,81.1
67.5,85.3,138.0,125.6,88.8
79.1,99.9,168.8,138.6,77.8
79.1,98.5,160.4,144.8,94.8
79.1,103.1,181.2,159.0,86.8
105.8,133.4,211.5,164.5,77.0
79.6,104.8,164.8,141.6,89.9
84.1,109.1,171.3,143.9,85.7
82.6,106.2,190.9,155.3,82.7
80.2,99.7,170.8,141.2,89.2
72.5,91.3,164.6,138.7,82.3
81.1,109.2,152.4,126.6,85.9
68.8,92.0,147.7,106.3,72.2
73.1,90.1,164.2,140.0,86.1
71.1,92.9,150.3,126.2,88.5
75.7,102.1,171.7,137.5,81.6
93.5,113.2,190.2,152.8,82.0
60.1,80.8,143.0,112.1,81.6
80.5,101.3,196.6,162.0,81.3
62.1,83.6,126.1,116.3,89.7
71.2,88.8,144.2,109.5,72.8
83.7,99.8,193.2,173.4,83.8
75.5,90.0,177.5,148.5,89.8
66.4,86.5,133.1,119.2,86.2
69.3,91.4,140.4,119.9,84.7
80.4,100.0,165.5,138.1,82.6
69.2,93.1,129.1,107.2,83.9
76.7,91.4,150.1,124.2,85.2
75.4,97.6,146.2,111.4,78.8
69.8,84.7,137.3,113.1,80.6
92.2,116.5,193.1,166.1,85.5
80.1,104.3,171.0,137.6,81.3
58.8,72.1,142.1,111.3,77.6
76.5,97.5,148.7,136.2,96.4
69.7,95.6,158.2,129.7,83.5
81.8,103.5,169.3,138.3,83.9
68.7,93.4,143.6,124.4,88.6
74.1,90.7,163.7,128.1,81.8
79.0,105.4,152.5,130.8,86.3
81.9,113.7,176.6,149.1,80.5
65.4,72.7,139.3,119.8,87.2
72.3,90.0,157.8,134.0,83.0
71.2,95.4,153.0,138.8,89.1
69.8,89.7,176.0,161.1,93.3
89.1,117.7,179.5,139.8,81.6
78.2,98.7,157.9,141.0,89.4
64.9,84.8,128.8,117.4,92.1
82.3,106.3,166.3,158.5,100.5
92.0,125.4,185.5,162.8,88.5
83.3,109.5,189.1,171.3,98.4
62.8,83.4,149.0,113.5,77.9
71.1,90.4,142.5,113.1,74.0
85.1,108.2,168.8,149.0,90.5
69.3,88.0,151.3,110.6,74.2
78.6,104.1,158.3,126.7,83.9
81.2,103.5,178.1,154.0,88.5
67.6,89.3,144.4,142.7,98.4
74.5,107.3,138.3,99.2,68.1
49.1,68.1,121.6,114.5,93.5
66.8,85.2,161.8,150.7,90.6
73.0,100.9,145.9,115.8,77.7
65.0,82.5,131.9,92.6,72.0
88.1,104.3,188.4,149.0,84.1
63.6,77.6,137.5,112.4,82.9
71.5,83.6,158.0,129.6,78.4
76.0,97.1,183.8,149.4,82.6
86.5,112.6,179.6,146.6,85.2
63.5,90.9,123.8,103.0,81.4
84.3,111.2,160.5,135.6,84.1
75.1,96.5,148.9,127.1,85.4
67.1,91.4,140.6,125.6,86.9
78.7,91.3,186.8,161.0,88.1
76.6,100.7,154.6,145.0,93.4
70.2,95.1,150.1,128.4,86.8
75.6,90.8,158.5,142.6,87.3
71.9,99.2,165.3,149.3,89.0
75.9,100.4,189.7,159.8,86.4
80.3,102.3,162.3,126.8,77.0
87.7,117.2,178.3,144.2,86.1
65.1,96.0,149.2,139.4,92.2
92.1,120.6,201.5,179.2,89.6
59.4,78.4,146.9,117.3,82.7
73.8,93.6,162.0,145.5,85.6
79.7,99.4,163.1,140.4,80.8
77.2,104.6,169.3,139.5,77.8
70.0,86.7,160.3,144.0,93.6
73.3,95.7,163.8,138.4,82.8
71.1,90.0,155.3,142.7,99.5
70.3,93.8,160.4,141.1,86.3
81.8,108.0,185.8,155.4,84.2
77.9,106.4,180.1,165.8,96.7
69.5,87.7,153.6,127.1,88.7
82.2,105.5,170.6,145.2,91.3
77.5,95.8,164.4,135.3,85.9
81.5,103.7,185.6,156.0,87.1
80.0,105.9,158.3,123.6,79.9
