fecha,hotel,ciudad,categoria_hotel,rating_usuario,review,motivo_viaje,procedencia
2025-10-01,Hotel Costa Azul,Mar del Plata,3,3,"La habitación era correcta, el check-in tardó más de lo normal.",Familia,Colombia
2025-10-01,Hotel Faro Viejo,Puerto Madryn,3,5,"El desayuno fue espectacular, variedad y muy buena calidad.",Familia,Chile
2025-10-01,Posada del Sol,Salta,3,1,Wifi prácticamente inexistente durante toda la estadía.,Pareja,España
2025-10-03,Gran Hotel Andes,Bariloche,5,2,Wifi prácticamente inexistente durante toda la estadía.,Pareja,Brasil
2025-10-03,Boutique Palermo Suites,Buenos Aires,4,4,"Excelente atención del personal, superó todas nuestras expectativas.",Familia,México
2025-10-03,Hotel Río Claro,Mendoza,4,4,"El spa y la pileta fueron un lujo, superó lo que esperábamos.",Negocios,Chile
2025-10-04,Hostal Las Termas,Termas de Río Hondo,2,2,"El personal fue muy poco atento, tuvimos que reclamar varias veces.",Solo,Chile
2025-10-04,Hotel Faro Viejo,Puerto Madryn,3,4,"El desayuno fue espectacular, variedad y muy buena calidad.",Amigos,España
2025-10-04,Hotel Costa Azul,Mar del Plata,3,4,"Muy limpio, silencioso y con un check-in rapidísimo, encantados.",Solo,México
2025-10-05,Hotel Costa Azul,Mar del Plata,3,4,"Muy limpio, silencioso y con un check-in rapidísimo, encantados.",Familia,Colombia
2025-10-05,Hostal Las Termas,Termas de Río Hondo,2,2,Cobraron cargos que no estaban avisados al momento de reservar.,Solo,Colombia
2025-10-05,Hotel Faro Viejo,Puerto Madryn,3,4,"Habitación impecable, muy cómoda y con una vista hermosa.",Amigos,México
2025-10-05,Hotel Costa Azul,Mar del Plata,3,1,Cobraron cargos que no estaban avisados al momento de reservar.,Solo,Chile
2025-10-06,Boutique Palermo Suites,Buenos Aires,4,2,La pileta estaba cerrada todo el fin de semana sin previo aviso.,Pareja,Chile
2025-10-06,Hotel Río Claro,Mendoza,4,4,"La mejor estadía que tuvimos en mucho tiempo, totalmente recomendable.",Solo,Uruguay
2025-10-06,Hotel Río Claro,Mendoza,4,5,"El desayuno fue espectacular, variedad y muy buena calidad.",Negocios,México
2025-10-06,Hostal Las Termas,Termas de Río Hondo,2,3,"Es un hotel funcional, no lo elegiría de nuevo pero tampoco fue malo.",Familia,Brasil
2025-10-06,Cabañas del Bosque,El Calafate,4,1,Wifi prácticamente inexistente durante toda la estadía.,Familia,Brasil
2025-10-06,Hostal Las Termas,Termas de Río Hondo,2,4,"Muy limpio, silencioso y con un check-in rapidísimo, encantados.",Amigos,Colombia
2025-10-06,Cabañas del Bosque,El Calafate,4,1,Cobraron cargos que no estaban avisados al momento de reservar.,Pareja,Brasil
2025-10-06,Hotel Río Claro,Mendoza,4,2,"Habitación sucia y con olor a humedad, no lo recomiendo.",Negocios,México
2025-10-07,Hotel Central Plaza,Córdoba,3,1,Wifi prácticamente inexistente durante toda la estadía.,Negocios,Brasil
2025-10-07,Hotel Faro Viejo,Puerto Madryn,3,4,"El spa y la pileta fueron un lujo, superó lo que esperábamos.",Negocios,España
2025-10-08,Hotel Costa Azul,Mar del Plata,3,1,"Muy buena ubicación y personal amable, el problema fue solo el ruido de la calle que no nos dejó dormir.",Negocios,Brasil
2025-10-09,Hotel Costa Azul,Mar del Plata,3,2,Wifi prácticamente inexistente durante toda la estadía.,Solo,Brasil
2025-10-09,Hotel Central Plaza,Córdoba,3,2,Cobraron cargos que no estaban avisados al momento de reservar.,Negocios,Colombia
2025-10-09,Hostal Las Termas,Termas de Río Hondo,2,5,"Nada especial la verdad, hotel de paso, pero cumplió y no tenemos grandes quejas.",Negocios,Uruguay
2025-10-10,Posada del Sol,Salta,3,3,"Cumple lo básico, nada memorable pero tampoco hubo problemas graves.",Pareja,Brasil
2025-10-10,Gran Hotel Andes,Bariloche,5,5,"Muy limpio, silencioso y con un check-in rapidísimo, encantados.",Familia,Brasil
2025-10-10,Gran Hotel Andes,Bariloche,5,4,"El desayuno fue espectacular, variedad y muy buena calidad.",Amigos,Brasil
2025-10-11,Hotel Río Claro,Mendoza,4,2,"La habitación no se parecía en nada a las fotos, una decepción.",Pareja,Colombia
2025-10-11,Hotel Río Claro,Mendoza,4,5,"Volveríamos sin dudarlo, todo el personal fue muy amable y atento.",Negocios,Argentina
