fecha,cliente,producto,cantidad,precio_unitario
2026-02-01,Cliente_11,Alfajor,1,600
2026-02-01,Cliente_01,Cigarrillos,4,3200
2026-02-01,Cliente_11,Papas,4,1100
2026-02-01,Cliente_06,Alfajor,1,600
2026-02-02,Cliente_16,Alfajor,2,600
2026-02-02,Cliente_13,Cigarrillos,4,3200
2026-02-02,Cliente_07,Gaseosa,1,900
2026-02-03,Cliente_05,Cigarrillos,1,3200
2026-02-03,Cliente_16,Gaseosa,3,900
2026-02-03,Cliente_21,Agua,3,500
2026-02-03,Cliente_25,Gaseosa,4,900
2026-02-03,Cliente_21,Gaseosa,3,900
2026-02-03,Cliente_04,Agua,4,500
2026-02-03,Cliente_03,Gaseosa,4,900
2026-02-03,Cliente_12,Papas,3,1100
2026-02-04,Cliente_10,Papas,2,1100
2026-02-05,Cliente_17,Papas,2,1100
2026-02-05,Cliente_11,Gaseosa,4,900
2026-02-05,Cliente_13,Cigarrillos,4,3200
2026-02-05,Cliente_04,Chocolate,1,750
2026-02-05,Cliente_18,Cigarrillos,2,3200
2026-02-05,Cliente_04,Papas,1,1100
2026-02-06,Cliente_21,Papas,2,1100
2026-02-06,Cliente_15,Cigarrillos,1,3200
2026-02-06,Cliente_11,Chocolate,1,750
2026-02-06,Cliente_01,Chocolate,1,750
2026-02-06,Cliente_12,Agua,2,500
2026-02-07,Cliente_05,Papas,1,1100
2026-02-07,Cliente_15,Gaseosa,1,900
2026-02-07,Cliente_17,Gaseosa,2,900
2026-02-07,Cliente_19,Papas,4,1100
2026-02-07,Cliente_23,Papas,1,1100
2026-02-08,Cliente_25,Alfajor,4,600
2026-02-08,Cliente_17,Cigarrillos,3,3200
2026-02-08,Cliente_11,Papas,1,1100
2026-02-08,Cliente_14,Papas,2,1100
2026-02-08,Cliente_02,Papas,4,1100
2026-02-08,Cliente_03,Alfajor,4,600
2026-02-08,Cliente_22,Gaseosa,1,900
2026-02-09,Cliente_23,Alfajor,4,600
2026-02-09,Cliente_08,Papas,4,1100
2026-02-09,Cliente_17,Papas,1,1100
2026-02-09,Cliente_13,Agua,3,500
2026-02-09,Cliente_18,Agua,2,500
2026-02-09,Cliente_15,Chocolate,1,750
